"","Airport.Name","Total Flights","Delayed Flights","Delayed Percentage"
"2509","Farnborough Airport",6,2,33.3333333333333
"2510","Faro Airport",23,7,30.4347826086957
"2511","Fasa Airport",9,3,33.3333333333333
"2512","Fascene Airport",5,1,20
"2513","Fatmawati Soekarno Airport",13,3,23.0769230769231
"2514","Faya Largeau Airport",10,5,50
"2515","Fayetteville Municipal Airport",13,4,30.7692307692308
"2516","Fayetteville Regional Grannis Field",11,2,18.1818181818182
"2517","Fayzabad Airport",8,1,12.5
"2518","Fazenda Barra do Agudo Airport",15,6,40
"2519","Fazenda Bela Vista Airport",16,5,31.25
"2520","Fazenda Cataco Airport",10,3,30
"2521","Fazenda Constância Airport",12,3,25
"2522","Fazenda Palmital Airport",9,3,33.3333333333333
"2523","Fazenda Piraguassu Airport",16,5,31.25
"2524","Fazenda Santa Maria Airport",7,3,42.8571428571429
"2525","Fazenda São Francisco Airport",11,4,36.3636363636364
"2526","Fazenda São Francisco do Itaquerê Airport",9,2,22.2222222222222
"2527","Fazenda São João Airport",11,4,36.3636363636364
"2528","Fazenda Três Barras Airport",15,5,33.3333333333333
"2529","Fazenda Tucunaré Airport",6,2,33.3333333333333
"2530","Fazenda Vassoural Airport",16,8,50
"2531","Fazenda das Represas Airport",15,6,40
"2532","Fderik Airport",6,3,50
"2533","Federico Fellini International Airport",7,3,42.8571428571429
"2534","Federico Garcia Lorca Airport",9,5,55.5555555555556
"2535","Feijó Airport",11,3,27.2727272727273
"2536","Felker Army Air Field",20,7,35
"2537","Felts Field",11,4,36.3636363636364
"2538","Fera/Maringe Airport",9,0,0
"2539","Feramin Airport",9,6,66.6666666666667
"2540","Fergana International Airport",15,1,6.66666666666667
"2541","Fergus Falls Municipal Airport - Einar Mickelson Field",11,3,27.2727272727273
"2542","Ferkessedougou Airport",15,4,26.6666666666667
"2543","Fernando Luis Ribas Dominicci Airport",7,2,28.5714285714286
"2544","Fernando de Noronha Airport",13,3,23.0769230769231
"2545","Fetlar Airport",8,7,87.5
"2546","Fianarantsoa Airport",13,5,38.4615384615385
"2547","Ficksburg Sentraoes Airport",8,2,25
"2548","Figari Sud-Corse Airport",3,1,33.3333333333333
"2549","Filadelfia Airport",19,9,47.3684210526316
"2550","Filippos Airport",8,1,12.5
"2551","Fillmore Municipal Airport",10,2,20
"2552","Fincha Airport",10,4,40
"2553","Findlay Airport",10,4,40
"2554","Finke Airport",4,2,50
"2555","Finley Airport",11,1,9.09090909090909
"2556","Finschhafen Airport",12,5,41.6666666666667
"2557","First Flight Airport",10,4,40
"2558","Fishermans Airfield",10,3,30
"2559","Fitiuta Airport",14,1,7.14285714285714
"2560","Fitzroy Crossing Airport",15,6,40
"2561","Five Mile Airport",14,5,35.7142857142857
"2562","Flagstaff Pulliam Airport",9,3,33.3333333333333
"2563","Flamingo Airport",16,8,50
"2564","Flamingo International Airport",10,4,40
"2565","Flat Airport",12,6,50
"2566","Fleetlands Heliport",10,6,60
"2567","Flensburg-Schäferhaus Airport",15,4,26.6666666666667
"2568","Fletcher Field",12,2,16.6666666666667
"2569","Flin Flon Airport",9,3,33.3333333333333
"2570","Flinders Island Airport",12,5,41.6666666666667
"2571","Flora Valley Airport",9,6,66.6666666666667
"2572","Florence Municipal Airport",15,5,33.3333333333333
"2573","Florence Regional Airport",7,4,57.1428571428571
"2574","Flores Airport",8,2,25
"2575","Florø Airport",5,0,0
"2576","Flotta Isle Airport",12,5,41.6666666666667
"2577","Floyd Bennett Memorial Airport",15,4,26.6666666666667
"2578","Flughafen München-Riem",11,4,36.3636363636364
"2579","Flugplatz Güttin / Rügen",13,5,38.4615384615385
"2580","Flugplatz Kitzingen",11,4,36.3636363636364
"2581","Flushing Airport",15,5,33.3333333333333
"2582","Flying Cloud Airport",10,3,30
"2583","Foggia ""Gino Lisa"" Airport",11,4,36.3636363636364
"2584","Fond du Lac County Airport",14,4,28.5714285714286
"2585","Fond-Du-Lac Airport",7,3,42.8571428571429
"2586","Fontaine Airport",12,4,33.3333333333333
"2587","Fontanges Airport",12,5,41.6666666666667
"2588","Fonte Boa Airport",8,6,75
"2589","Foothills Regional Airport",16,4,25
"2590","Forbes Airport",9,2,22.2222222222222
"2591","Ford Airport",12,5,41.6666666666667
"2592","Forest City Municipal Airport",10,2,20
"2593","Forestville Airport",18,6,33.3333333333333
"2594","Forlì Airport",9,5,55.5555555555556
"2595","Formiga Airport",14,5,35.7142857142857
"2596","Formosa Airport",9,2,22.2222222222222
"2597","Forrest Airport",5,2,40
"2598","Forrest City Municipal Airport",11,7,63.6363636363636
"2599","Forster (Wallis Is) Airport",14,7,50
"2600","Fort Albany Airport",12,3,25
"2601","Fort Bragg Airport",10,6,60
"2602","Fort Bridger Airport",9,2,22.2222222222222
"2603","Fort Chipewyan Airport",13,3,23.0769230769231
"2604","Fort Dodge Regional Airport",13,5,38.4615384615385
"2605","Fort Frances Municipal Airport",17,4,23.5294117647059
"2606","Fort Good Hope Airport",15,8,53.3333333333333
"2607","Fort Hope Airport",14,6,42.8571428571429
"2608","Fort Lauderdale Executive Airport",15,8,53.3333333333333
"2609","Fort Lauderdale Hollywood International Airport",15,2,13.3333333333333
"2610","Fort Lee Army Airfield",10,6,60
"2611","Fort Liard Airport",7,3,42.8571428571429
"2612","Fort MacKay/Albian Aerodrome",13,4,30.7692307692308
"2613","Fort Mackay / Firebag",10,7,70
"2614","Fort Mackay / Horizon Airport",16,5,31.25
"2615","Fort Madison Municipal Airport",17,6,35.2941176470588
"2616","Fort McMurray / Mildred Lake Airport",8,5,62.5
"2617","Fort McMurray Airport",10,4,40
"2618","Fort Mcpherson Airport",17,7,41.1764705882353
"2619","Fort Nelson Airport",15,7,46.6666666666667
"2620","Fort Reliance Seaplane Base",5,2,40
"2621","Fort Resolution Airport",8,6,75
"2622","Fort Scott Municipal Airport",18,6,33.3333333333333
"2623","Fort Severn Airport",14,5,35.7142857142857
"2624","Fort Simpson Airport",16,5,31.25
"2625","Fort Smith Airport",11,5,45.4545454545455
"2626","Fort Smith Regional Airport",9,1,11.1111111111111
"2627","Fort St John Airport",9,1,11.1111111111111
"2628","Fort Stockton Pecos County Airport",6,2,33.3333333333333
"2629","Fort Sumner Municipal Airport",8,5,62.5
"2630","Fort Wayne International Airport",13,5,38.4615384615385
"2631","Fort Worth Alliance Airport",16,4,25
"2632","Fort Worth Meacham International Airport",10,3,30
"2633","Fort Yukon Airport",8,1,12.5
"2634","Fortescue - Dave Forrest Aerodrome",13,2,15.3846153846154
"2635","Foshan Shadi Airport",12,3,25
"2636","Fossil Downs Airport",4,0,0
"2637","Fougamou Airport",10,3,30
"2638","Foula Airfield",14,2,14.2857142857143
"2639","Foumban Nkounja Airport",10,3,30
"2640","Four Corners Regional Airport",9,4,44.4444444444444
"2641","Foya Airport",13,5,38.4615384615385
"2642","Francis S Gabreski Airport",9,2,22.2222222222222
"2643","Francisco B. Reyes Airport",10,6,60
"2644","Francisco Bangoy International Airport",10,4,40
"2645","Francisco Beltrão Airport",7,1,14.2857142857143
"2646","Francisco Carle Airport",9,5,55.5555555555556
"2647","Francisco De Orellana Airport",10,6,60
"2648","Francisco Primo de Verdad y Ramos Airport",16,7,43.75
"2649","Francisco Sarabia International Airport",17,2,11.7647058823529
"2650","Francisco Vilela do Amaral Airport",12,4,33.3333333333333
"2651","Francisco de Assis Airport",17,4,23.5294117647059
"2652","Francisco de Sá Carneiro Airport",8,2,25
"2653","Francistown Airport",9,3,33.3333333333333
"2654","Franco Bianco Airport",15,3,20
"2655","Frank Miloye Milenkowichi–Marília State Airport",9,3,33.3333333333333
"2656","Frank Pais International Airport",10,4,40
"2657","Frank Wiley Field",9,5,55.5555555555556
"2658","Frankfurt am Main Airport",7,2,28.5714285714286
"2659","Frankfurt-Egelsbach Airport",16,5,31.25
"2660","Frankfurt-Hahn Airport",16,7,43.75
"2661","Franklin County Airport",10,3,30
"2662","Franklin Municipal-John Beverly Rose Airport",15,6,40
"2663","Frans Kaisiepo Airport",14,3,21.4285714285714
"2664","Frans Sales Lega Airport",14,3,21.4285714285714
"2665","Franz Josef Aerodrome",5,2,40
"2666","Frederick Municipal Airport",14,8,57.1428571428571
"2667","Frederick Regional Airport",21,10,47.6190476190476
"2668","Fredericton Airport",16,6,37.5
"2669","Freeman Municipal Airport",7,3,42.8571428571429
"2670","Fremont County Airport",10,2,20
"2671","Fremont Municipal Airport",19,10,52.6315789473684
"2672","French Lick Municipal Airport",7,3,42.8571428571429
"2673","French Valley Airport",9,2,22.2222222222222
"2674","Fresno Chandler Executive Airport",5,1,20
"2675","Fresno Yosemite International Airport",7,4,57.1428571428571
"2676","Fria Airport",11,4,36.3636363636364
"2677","Friday Harbor Airport",11,2,18.1818181818182
"2678","Friday Harbor Seaplane Base",14,6,42.8571428571429
"2679","Frieda River Airport",7,3,42.8571428571429
"2680","Friedman Memorial Airport",12,5,41.6666666666667
"2681","Friedrichshafen Airport",14,6,42.8571428571429
"2682","Fritzlar Airport",11,4,36.3636363636364
"2683","Front Royal Warren County Airport",6,3,50
"2684","Frégate Island Airport",12,1,8.33333333333333
"2685","Fréjus Airport",8,0,0
"2686","Ft Devens Moore Army Air Field",3,2,66.6666666666667
"2687","Fua'amotu International Airport",14,7,50
"2688","Fuerte Olimpo Airport",16,6,37.5
"2689","Fuerteventura Airport",6,2,33.3333333333333
"2690","Fujairah International Airport",12,2,16.6666666666667
"2691","Fukue Airport",11,4,36.3636363636364
"2692","Fukui Airport",20,7,35
"2693","Fukuoka Airport",9,4,44.4444444444444
"2694","Fukushima Airport",13,5,38.4615384615385
"2695","Fulleborn Airport",5,1,20
"2696","Fullerton Municipal Airport",7,1,14.2857142857143
"2697","Fulton County Airport",6,0,0
"2698","Fulton County Airport Brown Field",12,7,58.3333333333333
"2699","Fuma Airport",9,5,55.5555555555556
"2700","Funafuti International Airport",16,5,31.25
"2701","Fundación Airport",7,3,42.8571428571429
"2702","Funter Bay Seaplane Base",11,4,36.3636363636364
"2703","Furnace Creek Airport",6,3,50
"2704","Futaleufú Airport",10,3,30
"2705","Futuna Airport",11,3,27.2727272727273
"2706","Fuvahmulah Airport",9,5,55.5555555555556
"2707","Fuyang Xiguan Airport",11,6,54.5454545454545
"2708","Fuyun Koktokay Airport",19,3,15.7894736842105
"2709","Fuzhou Changle International Airport",11,4,36.3636363636364
"2710","Fáskrúðsfjörður Airport",8,1,12.5
"2711","Førde Airport",14,7,50
"2712","Fürstenfeldbruck Air Base",6,1,16.6666666666667
"2713","Gabala International Airport",10,2,20
"2714","Gabbs Airport",12,4,33.3333333333333
"2715","Gabès Matmata International Airport",9,4,44.4444444444444
"2716","Gachsaran Airport",7,2,28.5714285714286
"2717","Gafsa Ksar International Airport",10,1,10
"2718","Gag Island Airport",7,3,42.8571428571429
"2719","Gage Airport",14,3,21.4285714285714
"2720","Gagnoa Airport",10,5,50
"2721","Gainesville Municipal Airport",12,5,41.6666666666667
"2722","Gainesville Regional Airport",14,6,42.8571428571429
"2723","Galbraith Lake Airport",6,1,16.6666666666667
"2724","Galcaio Airport",11,3,27.2727272727273
"2725","Galegu Airport",11,5,45.4545454545455
"2726","Galesburg Municipal Airport",10,2,20
"2727","Galion Municipal Airport",12,5,41.6666666666667
"2728","Gallatin Field",11,1,9.09090909090909
"2729","Gallup Municipal Airport",15,5,33.3333333333333
"2730","Galway Airport",9,4,44.4444444444444
"2731","Gamal Abdel Nasser Airport",13,3,23.0769230769231
"2732","Gamarmalamo Airport",15,3,20
"2733","Gamba Airport",8,2,25
"2734","Gambell Airport",13,3,23.0769230769231
"2735","Gambella Airport",13,3,23.0769230769231
"2736","Gamboa Airport",14,2,14.2857142857143
"2737","Gamboma Airport",8,4,50
"2738","Gamboola Airport",13,3,23.0769230769231
"2739","Gan International Airport",8,1,12.5
"2740","Gandajika Airport",14,2,14.2857142857143
"2741","Gander International Airport",14,3,21.4285714285714
"2742","Gangaw Airport",12,4,33.3333333333333
"2743","Ganges Seaplane Base",15,6,40
"2744","Gangneung Airport (K-18)",15,4,26.6666666666667
"2745","Ganja Airport",11,1,9.09090909090909
"2746","Gannan Xiahe Airport",9,7,77.7777777777778
"2747","Gansner Field",11,4,36.3636363636364
"2748","Ganzhou Airport",11,6,54.5454545454545
"2749","Gao Airport",17,2,11.7647058823529
"2750","Gaoua Airport",9,2,22.2222222222222
"2751","Gap - Tallard Airfield",5,1,20
"2752","Garachiné Airport",9,5,55.5555555555556
"2753","Garaina Airport",7,4,57.1428571428571
"2754","Garanhuns Airport",12,3,25
"2755","Garasa Airport",13,3,23.0769230769231
"2756","Garbaharey Airport",8,3,37.5
"2757","Gardabya Airport",15,2,13.3333333333333
"2758","Garden City Regional Airport",9,3,33.3333333333333
"2759","Garden County Airport",13,5,38.4615384615385
"2760","Garden Point Airport",17,4,23.5294117647059
"2761","Gardez Airport",10,6,60
"2762","Gardner Municipal Airport",6,2,33.3333333333333
"2763","Gardo Airport",9,1,11.1111111111111
"2764","Garfield County Regional Airport",15,5,33.3333333333333
"2765","Garissa Airport",13,3,23.0769230769231
"2766","Garner Field",8,1,12.5
"2767","Garoua International Airport",9,4,44.4444444444444
"2768","Garowe Airport",7,3,42.8571428571429
"2769","Garuahi Airport",8,4,50
"2770","Gary Chicago International Airport",17,9,52.9411764705882
"2771","Garça Airport",7,1,14.2857142857143
"2772","Gascoyne Junction Airport",16,4,25
"2773","Gasmata Island Airport",9,2,22.2222222222222
"2774","Gaspé (Michel-Pouliot) Airport",13,6,46.1538461538462
"2775","Gassim Airport",10,1,10
"2776","Gasuke Airport",7,5,71.4285714285714
"2777","Gatlinburg-Pigeon Forge Airport",11,3,27.2727272727273
"2778","Gatokae Airport",12,3,25
"2779","Gatow Airport",14,8,57.1428571428571
"2780","Gaua Island Airport",9,4,44.4444444444444
"2781","Gautam Buddha Airport",14,3,21.4285714285714
"2782","Gaya Airport",11,2,18.1818181818182
"2783","Gaylord Regional Airport",12,5,41.6666666666667
"2784","Gayndah Airport",17,6,35.2941176470588
"2785","Gaziantep International Airport",17,7,41.1764705882353
"2786","Gazipaşa Airport",8,2,25
"2787","Gbadolite Airport",16,6,37.5
"2788","Gbangbatok Airport",10,3,30
"2789","Gdańsk Lech Wałęsa Airport",14,6,42.8571428571429
"2790","Gebe Airport",10,4,40
"2791","Geelong Airport",13,3,23.0769230769231
"2792","Geilenkirchen Air Base",17,7,41.1764705882353
"2793","Geilo Airport Dagali",6,4,66.6666666666667
"2794","Geladi Airport",14,4,28.5714285714286
"2795","Gelendzhik Airport",7,4,57.1428571428571
"2796","Gelephu Airport",9,3,33.3333333333333
"2797","Gemena Airport",13,6,46.1538461538462
"2798","Geneina Airport",5,2,40
"2799","General Abelardo L. Rodríguez International Airport",8,6,75
"2800","General Bartolome Salom International Airport",9,2,22.2222222222222
"2801","General E. Mosconi Airport",8,4,50
"2802","General Edward Lawrence Logan International Airport",15,5,33.3333333333333
"2803","General Enrique Mosconi Airport",19,5,26.3157894736842
"2804","General Francisco Bermúdez Airport",11,1,9.09090909090909
"2805","General Francisco J. Mujica International Airport",15,4,26.6666666666667
"2806","General Francisco Javier Mina International Airport",6,1,16.6666666666667
"2807","General Guadalupe Victoria International Airport",13,3,23.0769230769231
"2808","General Heriberto Jara International Airport",15,4,26.6666666666667
"2809","General Ignacio P. Garcia International Airport",10,3,30
"2810","General José Antonio Anzoategui International Airport",8,3,37.5
"2811","General José María Yáñez International Airport",11,6,54.5454545454545
"2812","General Juan N Alvarez International Airport",11,5,45.4545454545455
"2813","General Leite de Castro Airport",15,6,40
"2814","General Leobardo C. Ruiz International Airport",4,1,25
"2815","General Lucio Blanco International Airport",12,1,8.33333333333333
"2816","General Manuel Carlos Piar International Airport",11,2,18.1818181818182
"2817","General Manuel Serrano Airport",12,6,50
"2818","General Mariano Escobedo International Airport",15,4,26.6666666666667
"2819","General Mariano Matamoros Airport",9,4,44.4444444444444
"2820","General Mitchell International Airport",11,6,54.5454545454545
"2821","General Pedro Jose Mendez International Airport",17,5,29.4117647058824
"2822","General Pico Airport",12,3,25
"2823","General Rafael Buelna International Airport",11,5,45.4545454545455
"2824","General Rivadeneira Airport",10,3,30
"2825","General Roberto Fierro Villalobos International Airport",11,5,45.4545454545455
"2826","General Rodolfo Sánchez Taboada International Airport",14,4,28.5714285714286
"2827","General Santos International Airport",12,3,25
"2828","General Servando Canales International Airport",5,3,60
"2829","General Ulpiano Paez Airport",8,1,12.5
"2830","General Urquiza Airport",9,3,33.3333333333333
"2831","General Villamil Airport",8,2,25
"2832","General Villegas Airport",15,5,33.3333333333333
"2833","General WM J Fox Airfield",6,3,50
"2834","General Wayne A. Downing Peoria International Airport",16,6,37.5
"2835","Geneva Cointrin International Airport",15,6,40
"2836","Genoa Cristoforo Colombo Airport",9,1,11.1111111111111
"2837","Genting Airport",15,6,40
"2838","George Airport",5,2,40
"2839","George Best Belfast City Airport",15,3,20
"2840","George Bush Intercontinental Houston Airport",17,7,41.1764705882353
"2841","George Downer Airport",8,4,50
"2842","George F. L. Charles Airport",11,7,63.6363636363636
"2843","George R Carr Memorial Air Field",10,3,30
"2844","Georgetown (Tas) Airport",9,2,22.2222222222222
"2845","Georgetown Airport",4,1,25
"2846","Georgetown County Airport",13,4,30.7692307692308
"2847","Gerald R. Ford International Airport",14,1,7.14285714285714
"2848","Geraldton Airport",13,4,30.7692307692308
"2849","Geraldton Greenstone Regional Airport",16,7,43.75
"2850","Gerardo Tobar López Airport",10,6,60
"2851","German Olano Air Base",12,6,50
"2852","German Olano Airport",10,3,30
"2853","Gerrard Smith International Airport",9,2,22.2222222222222
"2854","Gettysburg Regional Airport",13,2,15.3846153846154
"2855","Geva Airport",13,3,23.0769230769231
"2856","Gewayentana Airport",9,2,22.2222222222222
"2857","Gewoia Airport",4,1,25
"2858","Ghadames East Airport",8,5,62.5
"2859","Ghanzi Airport",8,2,25
"2860","Ghat Airport",10,3,30
"2861","Ghazni Airport",16,5,31.25
"2862","Ghinnir Airport",15,5,33.3333333333333
"2863","Ghriss Airport",7,1,14.2857142857143
"2864","Gibb River Airport",9,2,22.2222222222222
"2865","Gibraltar Airport",9,2,22.2222222222222
"2866","Giebelstadt Airport",7,1,14.2857142857143
"2867","Gifu Airport",15,4,26.6666666666667
"2868","Gilgal Airport",11,3,27.2727272727273
"2869","Gilgit Airport",13,5,38.4615384615385
"2870","Gillam Airport",14,3,21.4285714285714
"2871","Gillespie Field",11,4,36.3636363636364
"2872","Gillette Campbell County Airport",13,9,69.2307692307692
"2873","Gilze Rijen Air Base",12,2,16.6666666666667
"2874","Gimhae International Airport",12,4,33.3333333333333
"2875","Gimli Industrial Park Airport",9,3,33.3333333333333
"2876","Gimpo International Airport",14,6,42.8571428571429
"2877","Ginbata Airport",12,6,50
"2878","Girdwood Airport",10,4,40
"2879","Girona Airport",8,4,50
"2880","Girua Airport",11,3,27.2727272727273
"2881","Gisborne Airport",11,4,36.3636363636364
"2882","Gisenyi Airport",10,5,50
"2883","Gitega Airport",10,1,10
"2884","Giyani Airport",8,3,37.5
"2885","Gjoa Haven Airport",15,1,6.66666666666667
"2886","Gjögur Airport",8,5,62.5
"2887","Glacier Creek Airport",8,4,50
"2888","Glacier Park International Airport",3,0,0
"2889","Gladstone Airport",7,2,28.5714285714286
"2890","Gladwin Zettel Memorial Airport",12,2,16.6666666666667
"2891","Glasgow International Airport",9,2,22.2222222222222
"2892","Glasgow Municipal Airport",10,2,20
"2893","Glasgow Prestwick Airport",10,7,70
"2894","Glen Innes Airport",15,7,46.6666666666667
"2895","Glendale Fokker Field",10,2,20
"2896","Glengyle Airport",9,4,44.4444444444444
"2897","Glenormiston Airport",9,4,44.4444444444444
"2898","Glentanner Airport",15,6,40
"2899","Glenwood Springs Municipal Airport",12,6,50
"2900","Gloucestershire Airport",5,3,60
"2901","Gnarowein Airport",12,5,41.6666666666667
"2902","Gobernador Castello Airport",12,4,33.3333333333333
"2903","Gobernador Gregores Airport",11,4,36.3636363636364
"2904","Gobernador Horacio Guzman International Airport",9,3,33.3333333333333
"2905","Gode Airport",8,5,62.5
"2906","Godman Army Air Field",13,4,30.7692307692308
"2907","Godofredo P. Ramos Airport",16,5,31.25
"2908","Gods Lake Narrows Airport",12,5,41.6666666666667
"2909","Gods River Airport",5,3,60
"2910","Godthaab / Nuuk Airport",10,6,60
"2911","Gogebic Iron County Airport",16,4,25
"2912","Gol Airport",7,1,14.2857142857143
"2913","Gold Beach Municipal Airport",14,6,42.8571428571429
"2914","Gold Coast Airport",10,3,30
"2915","Golden Horn Lodge Seaplane Base",9,2,22.2222222222222
"2916","Golden Triangle Regional Airport",7,4,57.1428571428571
"2917","Golfito Airport",7,2,28.5714285714286
"2918","Golfo de Morrosquillo Airport",9,4,44.4444444444444
"2919","Golmud Airport",13,6,46.1538461538462
"2920","Golog Maqin Airport",8,4,50
"2921","Goloson International Airport",9,4,44.4444444444444
"2922","Golovin Airport",14,6,42.8571428571429
"2923","Goma International Airport",10,2,20
"2924","Gombe Lawanti International Airport",10,4,40
"2925","Gomel Airport",9,2,22.2222222222222
"2926","Gomez Nino Apiay Air Base",9,4,44.4444444444444
"2927","Gonaili Airport",9,5,55.5555555555556
"2928","Gonder Airport",9,4,44.4444444444444
"2929","Gonzalo Mejía Airport",14,3,21.4285714285714
"2930","Gooding Municipal Airport",12,2,16.6666666666667
"2931","Goodnews Airport",9,4,44.4444444444444
"2932","Goondiwindi Airport",13,3,23.0769230769231
"2933","Goose Bay Airport",12,3,25
"2934","Gora Airstrip",14,3,21.4285714285714
"2935","Gorakhpur Airport",9,1,11.1111111111111
"2936","Gordil Airport",12,4,33.3333333333333
"2937","Gordon Downs Airport",11,3,27.2727272727273
"2938","Gordon Municipal Airport",6,0,0
"2939","Gordonsville Municipal Airport",13,1,7.69230769230769
"2940","Gore Airport",12,4,33.3333333333333
"2941","Gore Bay Manitoulin Airport",14,8,57.1428571428571
"2942","Gorgan Airport",13,5,38.4615384615385
"2943","Gorge Harbour Seaplane Base",14,5,35.7142857142857
"2944","Gorna Oryahovitsa Airport",9,1,11.1111111111111
"2945","Gorno-Altaysk Airport",10,4,40
"2946","Goroka Airport",8,2,25
"2947","Gorom-Gorom Airport",7,2,28.5714285714286
"2948","Goshen Municipal Airport",7,3,42.8571428571429
"2949","Gostomel Airport",9,3,33.3333333333333
"2950","Gothenburg City Airport",9,2,22.2222222222222
"2951","Gothenburg-Landvetter Airport",15,7,46.6666666666667
"2952","Goulburn Airport",13,3,23.0769230769231
"2953","Goulimime Airport",15,7,46.6666666666667
"2954","Gounda Airport",10,4,40
"2955","Goundam Airport",10,2,20
"2956","Gove Airport",8,2,25
"2957","Governador Aluízio Alves International Airport",6,4,66.6666666666667
"2958","Governador Jorge Teixeira de Oliveira Airport",12,4,33.3333333333333
"2959","Governador José Richa Airport",13,4,30.7692307692308
"2960","Governor's Harbour Airport",11,3,27.2727272727273
"2961","Goya Airport",8,3,37.5
"2962","Grabtsevo Airport",12,6,50
"2963","Graciosa Airport",8,3,37.5
"2964","Graeme Rowley Aerodrome",12,5,41.6666666666667
"2965","Grafton Airport",10,4,40
"2966","Grajaú Airport",14,6,42.8571428571429
"2967","Gral. Bernardo O´Higgins Airport",14,5,35.7142857142857
"2968","Gran Canaria Airport",8,3,37.5
"2969","Grand Bahama International Airport",12,5,41.6666666666667
"2970","Grand Canyon Bar Ten Airstrip",12,3,25
"2971","Grand Canyon National Park Airport",17,4,23.5294117647059
"2972","Grand Canyon West Airport",9,6,66.6666666666667
"2973","Grand Central Airport",12,8,66.6666666666667
"2974","Grand Cess Airport",10,3,30
"2975","Grand Coulee Dam Airport",7,2,28.5714285714286
"2976","Grand Forks Air Force Base",10,2,20
"2977","Grand Forks Airport",10,5,50
"2978","Grand Forks International Airport",10,4,40
"2979","Grand Geneva Resort Airport",5,3,60
"2980","Grand Junction Regional Airport",18,7,38.8888888888889
"2981","Grand Lake Regional Airport",9,2,22.2222222222222
"2982","Grand Marais Cook County Airport",8,7,87.5
"2983","Grand Rapids Itasca Co-Gordon Newstrom field",16,5,31.25
"2984","Grand Strand Airport",18,6,33.3333333333333
"2985","Grand-Santi Airport",13,2,15.3846153846154
"2986","Grande Cache Airport",11,2,18.1818181818182
"2987","Grande Prairie Airport",7,4,57.1428571428571
"2988","Granite Downs Airport",9,2,22.2222222222222
"2989","Granite Mountain Air Station",16,5,31.25
"2990","Grant Co Regional/Ogilvie Field",10,3,30
"2991","Grant County Airport",26,12,46.1538461538462
"2992","Grant County International Airport",7,3,42.8571428571429
"2993","Grants Pass Airport",15,3,20
"2994","Grants-Milan Municipal Airport",15,6,40
"2995","Grantsburg Municipal Airport",14,5,35.7142857142857
"2996","Granville Airport",12,3,25
"2997","Gratiot Community Airport",11,5,45.4545454545455
"2998","Gravatai Airport",12,2,16.6666666666667
"2999","Gray Army Air Field",8,2,25
"3000","Grayling Airport",8,3,37.5
"3001","Graz Airport",8,3,37.5
"3002","Great Barrier Aerodrome",9,3,33.3333333333333
"3003","Great Bear Lake Airport",16,5,31.25
"3004","Great Bend Municipal Airport",17,5,29.4117647058824
"3005","Great Falls International Airport",25,9,36
"3006","Great Harbour Cay Airport",7,3,42.8571428571429
"3007","Great Keppel Is Airport",7,4,57.1428571428571
"3008","Greater Binghamton/Edwin A Link field",7,2,28.5714285714286
"3009","Greater Cumberland Regional Airport",10,7,70
"3010","Greater Kankakee Airport",11,2,18.1818181818182
"3011","Greater Moncton International Airport",4,3,75
"3012","Greater Portsmouth Regional Airport",8,3,37.5
"3013","Greater Rochester International Airport",10,5,50
"3014","Greater Southwest International Airport-Amon Carter Field",12,5,41.6666666666667
"3015","Greeley–Weld County Airport",9,4,44.4444444444444
"3016","Green River Airport",5,2,40
"3017","Green River Municipal Airport",11,4,36.3636363636364
"3018","Greenbrier Airport",15,4,26.6666666666667
"3019","Greenbrier Valley Airport",10,3,30
"3020","Greene County Airport",13,8,61.5384615384615
"3021","Greeneville-Greene County Municipal Airport",10,4,40
"3022","Greenlee County Airport",12,3,25
"3023","Greenvale Airport",17,9,52.9411764705882
"3024","Greenville Airport",11,4,36.3636363636364
"3025","Greenville Downtown Airport",18,6,33.3333333333333
"3026","Greenville Sinoe Airport",10,2,20
"3027","Greenville Spartanburg International Airport",12,4,33.3333333333333
"3028","Greenway Sound Seaplane Base",10,3,30
"3029","Greenwood County Airport",10,2,20
"3030","Greenwood–Leflore Airport",13,4,30.7692307692308
"3031","Gregorio Luperon International Airport",4,2,50
"3032","Gregory Downs Airport",8,3,37.5
"3033","Grenchen Airport",9,3,33.3333333333333
"3034","Grenfell Airport",11,5,45.4545454545455
"3035","Grenoble-Isère Airport",15,5,33.3333333333333
"3036","Greymouth Airport",9,2,22.2222222222222
"3037","Griffing Sandusky Airport",13,4,30.7692307692308
"3038","Griffiss International Airport",14,2,14.2857142857143
"3039","Griffith Airport",5,2,40
"3040","Grise Fiord Airport",12,3,25
"3041","Grissom Air Reserve Base",14,7,50
"3042","Griswold Airport",15,5,33.3333333333333
"3043","Groennedal Heliport",13,1,7.69230769230769
"3044","Groote Eylandt Airport",5,1,20
"3045","Grosseto Air Base",11,2,18.1818181818182
"3046","Groton New London Airport",7,2,28.5714285714286
"3047","Grozny North Airport",13,4,30.7692307692308
"3048","Grumman Bethpage Airport",6,0,0
"3049","Grundarfjörður Airport",15,8,53.3333333333333
"3050","Grímsey Airport",14,7,50
"3051","Gu-Lian Airport",7,3,42.8571428571429
"3052","Guacamayas Airport",10,5,50
"3053","Guadalupe Airport",13,5,38.4615384615385
"3054","Guajará-Mirim Airport",15,8,53.3333333333333
"3055","Gualeguaychu Airport",17,8,47.0588235294118
"3056","Guanacaste Airport",11,1,9.09090909090909
